time,qw,qx,qy,qz,roll,pitch,yaw,time_normalized
1767383382.490379,0.9877806142571496,0.005058967843804,0.0010688555369131,-0.1557649591209935,0.5917202302593162,0.03068588599146142,-17.92272813019881,0.0
1767383382.490515,0.9513998007075598,0.0095421604984844,0.0006212715040911,-0.3078099745108252,1.0622954150785124,-0.26884362373422865,-35.85380040164154,0.00013589859008789062
1767383382.49063,0.8917468093939891,0.0132849272271425,-0.0021239884314619,-0.4523346408549241,1.2477025339961234,-0.9056883478950601,-53.78254070509385,0.00025081634521484375
1767383382.4907362,0.8102825183009436,0.016084747972059,-0.0074664744933835,-0.5857710928145876,0.9928358885436692,-1.7732361182280454,-71.71262645121888,0.0003571510314941406
1767383382.490838,0.7090043324570141,0.0174512759367044,-0.0143390969335629,-0.7048423226683361,0.2599540361065163,-2.5753819035381738,-89.65682886101739,0.0004589557647705078
1767383382.490939,0.5904086747620221,0.0162033765049348,-0.0191196481552858,-0.8067152449346735,-0.672033222468089,-2.7925463494923557,-107.61801143198807,0.0005598068237304688
1767383382.491036,0.4573699922565237,0.0116293391588629,-0.0167750777445947,-0.8890422067712299,-1.100269519727854,-2.0643999599280147,-125.5724871046079,0.0006568431854248047
1767383382.491133,0.3130735872187463,0.0076155770376661,-0.0100988687741872,-0.9496446413379328,-0.8259653815719695,-1.1911253646917954,-143.5164497060921,0.0007538795471191406
1767383382.49123,0.1611647422569068,0.0086084273343587,-0.0099736916719804,-0.9868395747569746,-0.9691223957506764,-1.1577450751978198,-161.4591505806787,0.0008509159088134766
1767383382.491328,0.0053263657242539,0.0102828920761533,-0.0142361467830977,-0.999831597862106,-1.6253579763708053,-1.1869082138952836,-179.40638316691934,0.0009489059448242188
1767383382.491423,-0.150673470118474,0.0099057245066723,-0.0170001566552276,-0.9883877663640688,-2.0971716999927326,-0.8284369511707855,162.64954065457502,0.0010437965393066406
1767383382.49152,-0.3029404918243446,0.0086490335160942,-0.0183315783348981,-0.9527938947475542,-2.3023799521021675,-0.3079512829694714,144.71772294777284,0.0011408329010009766
1767383382.491616,-0.4476908759878651,0.0073509769665438,-0.0192246552390036,-0.893951483765085,-2.347152835122278,0.23322723738188966,126.80136310954609,0.0012369155883789062
1767383382.491715,-0.5813692437417617,0.0061175397894176,-0.0199804647810697,-0.8133714767344562,-2.270634369681003,0.7609327033247208,108.90338591702285,0.0013358592987060547
1767383382.4918132,-0.7007292395140232,0.0048514248248666,-0.0205757266459664,-0.7131140413988905,-2.071890686600563,1.2558400200516957,91.0264684716642,0.0014340877532958984
1767383382.491908,-0.8029137432175988,0.00346750992076,-0.0209262371318552,-0.5957177099321079,-1.7485798456518808,1.6889008818244802,73.17252875970505,0.0015289783477783203
1767383382.4920042,-0.8855227473796613,0.0019287533333119,-0.0209597607466282,-0.464118984973897,-1.3113767387434687,2.024701181240909,55.34291748060311,0.00162506103515625
1767383382.492098,-0.9466624757125052,0.0002382554613182,-0.0206272625479871,-0.3215658818220347,-0.7865544362869934,2.2294188423795007,37.53888618887426,0.0017189979553222656
